match,market,home_team,away_team,player_name,line,over_price,agency
Scotland v Australia,Player Wickets,Scotland,Australia,Adam Zampa,0.5,1.12,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Riley Meredith,0.5,1.13,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Sean Abbott,0.5,1.17,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Xavier Bartlett,0.5,1.14,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Brad Wheal,0.5,1.48,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Bradley Currie,0.5,1.5,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Christopher Sole,0.5,1.5,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Mark Watt,0.5,1.48,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Adam Zampa,1.5,1.65,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Riley Meredith,1.5,1.7,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Sean Abbott,1.5,1.9,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Xavier Bartlett,1.5,1.75,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Brad Wheal,1.5,3.5,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Bradley Currie,1.5,3.75,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Christopher Sole,1.5,3.75,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Mark Watt,1.5,3.5,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Adam Zampa,2.5,2.9,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Riley Meredith,2.5,3.1,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Sean Abbott,2.5,3.8,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Xavier Bartlett,2.5,3.25,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Brad Wheal,2.5,13,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Bradley Currie,2.5,17,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Christopher Sole,2.5,17,TAB
Scotland v Australia,Player Wickets,Scotland,Australia,Mark Watt,2.5,13,TAB
