match,market,team,line,over_price,under_price,agency
Sydney Sixers v Brisbane Heat,First Over Runs - Team,Bris,5.5,1.6,2.2,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,Bris,3.5,1.28,3.3,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,Bris,7.5,2.4,1.5,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,Bris,9.5,3.8,1.22,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,SydS,3.5,1.28,3.3,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,SydS,7.5,2.4,1.5,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,SydS,9.5,3.8,1.22,TAB
Sydney Sixers v Brisbane Heat,First Over Runs - Team,SydS,5.5,1.6,2.2,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,Perth Scorchers,3.5,1.15,4.8,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,Perth Scorchers,7.5,2.2,1.6,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,Perth Scorchers,5.5,1.5,2.4,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,Perth Scorchers,9.5,2.9,1.35,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,SyTh,5.5,1.5,2.4,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,SyTh,3.5,1.15,4.8,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,SyTh,7.5,2.2,1.6,TAB
Perth Scorchers v Sydney Thunder,First Over Runs - Team,SyTh,9.5,2.9,1.35,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Adel,5.5,1.6,2.2,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Adel,3.5,1.28,3.3,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Adel,7.5,2.4,1.5,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Adel,9.5,3.8,1.22,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Hoba,5.5,1.6,2.2,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Hoba,3.5,1.28,3.3,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Hoba,7.5,2.4,1.5,TAB
Hobart Hurricanes v Adelaide Strikers,First Over Runs - Team,Hoba,9.5,3.8,1.22,TAB
