match,player_name,player_team,line,over_price,under_price,market,agency
Hobart Hurricanes v Sydney Thunder,Ben McDermott,Hobart Hurricanes,9.5,1.3,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Ben McDermott,Hobart Hurricanes,19.5,1.66,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Ben McDermott,Hobart Hurricanes,29.5,2.1,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Ben McDermott,Hobart Hurricanes,49.5,3.75,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Ben McDermott,Hobart Hurricanes,69.5,6.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,9.5,1.3,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,19.5,1.66,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,24.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,29.5,2.1,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,49.5,3.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,DA Warner,Sydney Thunder,69.5,5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,H Weibgen,Sydney Thunder,9.5,1.36,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,H Weibgen,Sydney Thunder,19.5,1.8,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,H Weibgen,Sydney Thunder,29.5,2.37,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,H Weibgen,Sydney Thunder,49.5,6.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,H Weibgen,Sydney Thunder,69.5,34,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,M Gilkes,Sydney Thunder,9.5,1.4,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,M Gilkes,Sydney Thunder,19.5,1.9,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,M Gilkes,Sydney Thunder,29.5,2.62,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,M Gilkes,Sydney Thunder,49.5,4.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,M Gilkes,Sydney Thunder,69.5,8,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,9.5,1.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,19.5,1.72,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,21.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,29.5,2.25,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,49.5,4,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,MJ Owen,Hobart Hurricanes,69.5,6,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,9.5,1.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,19.5,1.72,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,21.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,29.5,2.25,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,49.5,4.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Matthew Wade,Hobart Hurricanes,69.5,6,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,NK Chaudhary,Hobart Hurricanes,9.5,1.36,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,NK Chaudhary,Hobart Hurricanes,19.5,1.8,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,NK Chaudhary,Hobart Hurricanes,29.5,2.37,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,NK Chaudhary,Hobart Hurricanes,49.5,4.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,NK Chaudhary,Hobart Hurricanes,69.5,17,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,9.5,1.44,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,16.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,19.5,2,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,29.5,2.75,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,49.5,5.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,O Davies,Sydney Thunder,69.5,15,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,9.5,1.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,19.5,1.72,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,22.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,29.5,2.2,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,49.5,4,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,S Konstas,Sydney Thunder,69.5,5.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,9.5,1.33,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,19.5,1.72,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,21.5,1.83,1.83,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,29.5,2.25,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,49.5,4.5,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Shai Hope,Hobart Hurricanes,69.5,6,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Sam Billings,Sydney Thunder,9.5,1.3,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Sam Billings,Sydney Thunder,19.5,1.66,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Sam Billings,Sydney Thunder,29.5,2.1,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Sam Billings,Sydney Thunder,49.5,3.75,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Sam Billings,Sydney Thunder,69.5,15,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Tim David,Hobart Hurricanes,9.5,1.36,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Tim David,Hobart Hurricanes,19.5,1.8,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Tim David,Hobart Hurricanes,29.5,2.37,NA,Player Runs,Bet365
Hobart Hurricanes v Sydney Thunder,Tim David,Hobart Hurricanes,49.5,6.5,NA,Player Runs,Bet365
