match,market,home_team,away_team,player_name,line,over_price,agency
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Colin Munro,0.5,1.3,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Tom Banton,0.5,1.3,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,0.5,1.32,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,0.5,1.35,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Sam Billings,0.5,1.25,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,0.5,1.25,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Ollie Davies,0.5,1.3,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,David Warner,0.5,1.22,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Colin Munro,1.5,1.6,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Tom Banton,1.5,1.6,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,1.5,1.65,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,1.5,1.7,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Sam Billings,1.5,1.55,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,1.5,1.55,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Ollie Davies,1.5,1.6,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,David Warner,1.5,1.45,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Colin Munro,2.5,2.2,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Tom Banton,2.5,2.2,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,2.5,2.3,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,2.5,2.4,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Sam Billings,2.5,2.1,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,2.5,2.1,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Ollie Davies,2.5,2.2,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,David Warner,2.5,1.9,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Colin Munro,3.5,2.8,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Tom Banton,3.5,2.8,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,3.5,2.9,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,3.5,3,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Sam Billings,3.5,2.7,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,3.5,2.7,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Ollie Davies,3.5,2.8,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,David Warner,3.5,2.5,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Colin Munro,4.5,4,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Tom Banton,4.5,4,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,4.5,4.2,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,4.5,4.5,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Sam Billings,4.5,3.8,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,4.5,3.8,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,Ollie Davies,4.5,4,TAB
Brisbane Heat v Sydney Thunder,Number of 4s,Brisbane Heat,Sydney Thunder,David Warner,4.5,3.45,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Colin Munro,0.5,1.6,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Tom Banton,0.5,1.72,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,0.5,1.8,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,0.5,2.2,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,David Warner,0.5,1.6,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Ollie Davies,0.5,1.8,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Sam Billings,0.5,1.85,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,0.5,2.5,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Colin Munro,1.5,2.25,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Tom Banton,1.5,2.5,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,1.5,2.75,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,1.5,3.8,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,David Warner,1.5,2.25,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Ollie Davies,1.5,2.75,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Sam Billings,1.5,2.9,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,1.5,4.5,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Colin Munro,2.5,3.2,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Tom Banton,2.5,3.8,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Renshaw,2.5,4.25,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Nathan McSweeney,2.5,7.5,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,David Warner,2.5,3.2,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Ollie Davies,2.5,4.25,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Sam Billings,2.5,4.5,TAB
Brisbane Heat v Sydney Thunder,Number of 6s,Brisbane Heat,Sydney Thunder,Matthew Gilkes,2.5,10,TAB
