match,market,home_team,away_team,player_name,player_team,opposition_team,line,over_price,under_price,agency
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,9.5,1.53,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,19.5,2.36,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,29.5,3.35,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,39.5,4.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,49.5,5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,79.5,6.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Ashton Turner,NA,NA,99.5,13,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Cooper Connolly,Perth Scorchers,Melbourne Renegades,18.5,1.9,1.8,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,9.5,1.26,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,Perth Scorchers,Melbourne Renegades,18.5,1.97,1.77,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,19.5,1.81,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,29.5,2.44,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,39.5,3.35,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,49.5,3.8,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,59.5,4,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Finn Allen,NA,NA,79.5,15,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,9.5,1.45,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,Melbourne Renegades,Perth Scorchers,16.5,1.87,1.87,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,19.5,1.98,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,29.5,2.34,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,39.5,2.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,49.5,3.45,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,59.5,5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,79.5,9.5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jacob Bethell,NA,NA,99.5,26,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,9.5,1.26,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,Melbourne Renegades,Perth Scorchers,18.5,2.05,1.7,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,19.5,1.92,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,29.5,2.9,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,39.5,3.2,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,49.5,3.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,59.5,5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,79.5,7.5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Jake Fraser McGurk,NA,NA,99.5,23,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Brown,Melbourne Renegades,Perth Scorchers,18.5,1.93,1.8,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,9.5,1.18,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,19.5,1.56,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,Perth Scorchers,Melbourne Renegades,22.5,1.81,1.89,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,29.5,2.18,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,39.5,2.46,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,49.5,3.05,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,59.5,3.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,79.5,7,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Josh Inglis,NA,NA,99.5,14,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,9.5,1.24,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,19.5,1.68,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,Perth Scorchers,Melbourne Renegades,19.5,1.95,1.8,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,29.5,2.26,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,39.5,3.65,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,49.5,5.25,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,59.5,6.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Keaton Jennings,NA,NA,79.5,23,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,9.5,1.32,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,19.5,1.87,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,29.5,2.55,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,39.5,3.05,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,49.5,3.85,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,59.5,4.75,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,79.5,9,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Laurie Evans,NA,NA,99.5,36,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,9.5,1.09,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,19.5,1.6,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,Melbourne Renegades,Perth Scorchers,21.5,1.81,1.89,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,29.5,1.99,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,39.5,2.6,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,49.5,3.65,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,59.5,5,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,79.5,8.25,NA,TopSport
Melbourne Renegades v Perth Scorchers,Player Runs,Melbourne Renegades,Perth Scorchers,Tim Seifert,NA,NA,99.5,36,NA,TopSport
