match,home_team,away_team,market,player_name,line,over_price,agency
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Matt Short,0.5,1.5,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Matt Short,1.5,2.25,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Matt Short,2.5,3.3,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Matt Short,3.5,4.7,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,D'Arcy Short,0.5,2.15,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,D'Arcy Short,1.5,4.3,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,D'Arcy Short,2.5,7,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,D'Arcy Short,3.5,10,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Alex Carey,0.5,1.87,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Alex Carey,1.5,3.4,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Alex Carey,2.5,5.5,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Alex Carey,3.5,8,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Ollie Pope,0.5,2.3,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Ollie Pope,1.5,4.9,Pointsbet
Adelaide Strikers v Sydney Sixers,Sydney Sixers,Adelaide Strikers,Number of 6s,Ollie Pope,2.5,8,Pointsbet
