match,market,home_team,away_team,player_name,player_team,opposition_team,price,agency
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Jason Behrendorff,Perth Scorchers,Sydney Thunder,4.2,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Lance Morris,Perth Scorchers,Sydney Thunder,4.6,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Andrew Tye,Perth Scorchers,Sydney Thunder,4.8,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Ashton Agar,Perth Scorchers,Sydney Thunder,5.5,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Bryce Jackson,Perth Scorchers,Sydney Thunder,6,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Matthew Spoors,Perth Scorchers,Sydney Thunder,6.5,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Cooper Connolly,Perth Scorchers,Sydney Thunder,7,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Ashton Turner,Perth Scorchers,Sydney Thunder,11,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Muhammad Hasnain,Sydney Thunder,Perth Scorchers,3.6,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Wes Agar,Sydney Thunder,Perth Scorchers,4.2,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Chris Green,Sydney Thunder,Perth Scorchers,4.4,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Liam Hatcher,Sydney Thunder,Perth Scorchers,4.6,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Tom Andrews,Sydney Thunder,Perth Scorchers,4.6,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,Nathan McAndrew,Sydney Thunder,Perth Scorchers,4.8,TopSport
Sydney Thunder v Perth Scorchers,Top Team Wicket Taker,Sydney Thunder,Perth Scorchers,George Garton,Sydney Thunder,Perth Scorchers,5.5,TopSport
